epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,309.416,1.53604,1.50928,1.84705,0.68598,0.68219,0.7305,0.60304,1.46531,1.41711,1.8403,0.0005941,0.0005941,0.0005941
43,317.926,1.49809,1.44532,1.84533,0.76682,0.6848,0.77896,0.63889,1.43755,1.303,1.82636,0.0005842,0.0005842,0.0005842
44,326.243,1.50712,1.43558,1.83673,0.72182,0.69393,0.75427,0.61435,1.45742,1.39917,1.85083,0.0005743,0.0005743,0.0005743
45,334.55,1.51533,1.41343,1.83906,0.73565,0.7295,0.78355,0.63165,1.50048,1.35783,1.85247,0.0005644,0.0005644,0.0005644
46,342.846,1.50171,1.40752,1.83985,0.73771,0.68324,0.75541,0.62226,1.48768,1.44199,1.84983,0.0005545,0.0005545,0.0005545
47,351.379,1.55241,1.42512,1.83055,0.72883,0.7207,0.77114,0.63729,1.41813,1.39588,1.811,0.0005446,0.0005446,0.0005446
48,359.698,1.51485,1.39838,1.82414,0.74734,0.73332,0.78082,0.64296,1.45932,1.35497,1.84099,0.0005347,0.0005347,0.0005347
49,367.996,1.52705,1.36817,1.83375,0.75768,0.72401,0.79532,0.65456,1.47103,1.35826,1.84102,0.0005248,0.0005248,0.0005248
50,376.366,1.47745,1.37792,1.82213,0.73517,0.73545,0.79079,0.65203,1.4446,1.33285,1.82343,0.0005149,0.0005149,0.0005149
51,384.88,1.49245,1.37262,1.82745,0.74986,0.72429,0.78713,0.64812,1.43909,1.35562,1.81859,0.000505,0.000505,0.000505
52,393.213,1.44904,1.32406,1.81801,0.73984,0.73019,0.78193,0.64285,1.43027,1.41155,1.82632,0.0004951,0.0004951,0.0004951
53,401.539,1.48632,1.33229,1.82342,0.7305,0.74277,0.79276,0.65441,1.42588,1.34394,1.82555,0.0004852,0.0004852,0.0004852
54,409.935,1.4532,1.28919,1.81247,0.71798,0.75035,0.78748,0.6537,1.42447,1.39511,1.83737,0.0004753,0.0004753,0.0004753
