epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7585,1.18452,1.86642,0.00266,0.33055,0.22116,0.22536,0.16238,1.18058,4.18526,0.00405,3.46667e-06,3.46667e-06,0.0653368
2,30.9316,0.99567,0.86167,0.00214,0.76943,0.64468,0.75608,0.54445,1.07924,1.26783,0.00364,6.6675e-06,6.6675e-06,0.0300067
3,44.9565,0.95146,0.78342,0.002,0.8324,0.76519,0.85842,0.67263,0.843,0.74579,0.00282,9.05e-06,9.05e-06,9.05e-06
4,58.916,0.92407,0.75747,0.00197,0.81293,0.81665,0.8708,0.68462,0.82748,0.71685,0.00276,8.575e-06,8.575e-06,8.575e-06
5,72.9628,0.92822,0.74638,0.00191,0.82543,0.80579,0.87004,0.68201,0.82618,0.73514,0.00274,8.1e-06,8.1e-06,8.1e-06
6,87.1873,0.91259,0.72272,0.00195,0.83486,0.81673,0.88089,0.69593,0.82018,0.67758,0.00273,7.625e-06,7.625e-06,7.625e-06
7,101.175,0.91276,0.71457,0.00194,0.86406,0.79463,0.88184,0.69633,0.81703,0.67455,0.00271,7.15e-06,7.15e-06,7.15e-06
8,115.232,0.90822,0.70554,0.00193,0.85625,0.80388,0.88471,0.70177,0.81126,0.66158,0.00267,6.675e-06,6.675e-06,6.675e-06
9,129.347,0.90625,0.68843,0.00191,0.83899,0.81856,0.88402,0.699,0.81435,0.66758,0.0027,6.2e-06,6.2e-06,6.2e-06
10,143.561,0.9085,0.6852,0.00191,0.83721,0.82332,0.8878,0.70305,0.81032,0.6577,0.00267,5.725e-06,5.725e-06,5.725e-06
11,158.33,0.8807,0.69645,0.00209,0.8703,0.78279,0.88499,0.69825,0.82345,0.64432,0.00272,5.25e-06,5.25e-06,5.25e-06
12,172.236,0.86584,0.65961,0.00204,0.85743,0.78484,0.88213,0.69422,0.82777,0.66976,0.00273,4.775e-06,4.775e-06,4.775e-06
13,186.059,0.85657,0.64771,0.002,0.85409,0.78427,0.88175,0.69394,0.83259,0.67231,0.00275,4.3e-06,4.3e-06,4.3e-06
14,199.925,0.85759,0.63481,0.00201,0.86825,0.77751,0.88419,0.69637,0.82953,0.66362,0.00274,3.825e-06,3.825e-06,3.825e-06
15,213.75,0.85635,0.62236,0.00202,0.85698,0.78971,0.88476,0.69875,0.82281,0.65991,0.00271,3.35e-06,3.35e-06,3.35e-06
16,227.546,0.8403,0.61534,0.002,0.86687,0.78663,0.88596,0.70006,0.82044,0.65367,0.0027,2.875e-06,2.875e-06,2.875e-06
17,241.38,0.84881,0.6192,0.00202,0.87203,0.78332,0.88656,0.70021,0.82079,0.65689,0.0027,2.4e-06,2.4e-06,2.4e-06
18,255.289,0.85099,0.62467,0.00197,0.86752,0.78728,0.88624,0.69871,0.82261,0.65317,0.00271,1.925e-06,1.925e-06,1.925e-06
19,269.103,0.85498,0.62305,0.002,0.86579,0.78601,0.88628,0.69937,0.82409,0.65169,0.00271,1.45e-06,1.45e-06,1.45e-06
20,282.959,0.84114,0.61691,0.00202,0.86226,0.79307,0.88676,0.70059,0.82266,0.65413,0.00271,9.75e-07,9.75e-07,9.75e-07
