epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.203,1.36783,1.68774,0.00316,0.68456,0.62399,0.64295,0.42586,1.24571,1.18164,0.00438,0.0012272,0.0012272,0.0492272
2,31.2418,1.19831,0.89845,0.00269,0.78669,0.77257,0.84066,0.62175,1.00317,1.94385,0.00341,0.0022479,0.0022479,0.0022479
3,45.3445,1.19756,0.78507,0.00266,0.73295,0.71711,0.75547,0.52669,1.12474,2.24832,0.00398,0.0021358,0.0021358,0.0021358
4,59.3081,1.08706,0.75442,0.00241,0.80063,0.81172,0.86776,0.61024,1.09705,0.91286,0.0038,0.0020237,0.0020237,0.0020237
5,73.2954,1.09252,0.69157,0.00233,0.79951,0.76858,0.85558,0.6514,0.98749,0.80332,0.00335,0.0019116,0.0019116,0.0019116
6,87.4787,1.06532,0.66816,0.00236,0.79377,0.7956,0.86734,0.64836,1.00655,0.79271,0.0034,0.0017995,0.0017995,0.0017995
7,101.453,1.04403,0.63001,0.00229,0.81977,0.79843,0.87005,0.65825,0.9798,0.74393,0.00329,0.0016874,0.0016874,0.0016874
8,115.432,1.00929,0.61934,0.00218,0.88252,0.80955,0.90593,0.70417,0.91716,0.61161,0.00306,0.0015753,0.0015753,0.0015753
9,129.391,0.97634,0.59493,0.00211,0.87151,0.81962,0.90312,0.69388,0.95593,0.63282,0.00326,0.0014632,0.0014632,0.0014632
10,143.401,0.96525,0.59127,0.00207,0.81428,0.8093,0.88858,0.66911,0.98222,0.98722,0.00333,0.0013511,0.0013511,0.0013511
11,158.08,0.96617,0.64831,0.00235,0.86219,0.80619,0.90057,0.69425,0.91059,0.84917,0.00311,0.001239,0.001239,0.001239
12,171.855,0.93119,0.55993,0.00224,0.85187,0.83207,0.90554,0.69674,0.93965,0.64586,0.00312,0.0011269,0.0011269,0.0011269
13,185.775,0.91604,0.53567,0.00217,0.87256,0.83586,0.91622,0.71839,0.8844,0.65919,0.00288,0.0010148,0.0010148,0.0010148
14,199.768,0.87725,0.51905,0.00207,0.87421,0.83866,0.9178,0.7245,0.86571,0.60564,0.00285,0.0009027,0.0009027,0.0009027
15,214.001,0.87572,0.51752,0.00208,0.87008,0.84497,0.91875,0.72442,0.86468,0.58677,0.00284,0.0007906,0.0007906,0.0007906
16,228.2,0.8355,0.48237,0.00201,0.8441,0.86966,0.91453,0.7314,0.83655,0.57249,0.00274,0.0006785,0.0006785,0.0006785
17,242.262,0.81932,0.46713,0.00195,0.88612,0.85545,0.92693,0.73519,0.84191,0.5246,0.00278,0.0005664,0.0005664,0.0005664
18,256.321,0.818,0.45432,0.0019,0.87957,0.86907,0.93056,0.74831,0.82094,0.51661,0.00269,0.0004543,0.0004543,0.0004543
19,270.455,0.79792,0.44499,0.00185,0.8723,0.86529,0.92777,0.75209,0.79284,0.52863,0.00259,0.0003422,0.0003422,0.0003422
20,284.553,0.77603,0.43024,0.00185,0.86801,0.87733,0.92978,0.75537,0.80317,0.51271,0.0026,0.0002301,0.0002301,0.0002301
