epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.168,1.51539,1.45771,1.82831,0.73611,0.67735,0.74795,0.61453,1.50453,1.5177,1.8331,0.0005941,0.0005941,0.0005941
43,231.661,1.52575,1.4479,1.81448,0.71097,0.69606,0.76032,0.62363,1.494,1.41898,1.82685,0.0005842,0.0005842,0.0005842
44,237.171,1.51512,1.38754,1.81558,0.7781,0.65691,0.7721,0.64399,1.51152,1.49971,1.83783,0.0005743,0.0005743,0.0005743
45,242.702,1.50851,1.36643,1.80767,0.68822,0.71832,0.74023,0.60911,1.48508,1.46618,1.82352,0.0005644,0.0005644,0.0005644
46,247.833,1.49299,1.36266,1.80442,0.7631,0.70261,0.78716,0.64626,1.49512,1.38679,1.83428,0.0005545,0.0005545,0.0005545
47,252.824,1.49978,1.36975,1.8136,0.74371,0.6895,0.77295,0.63734,1.46362,1.3924,1.8205,0.0005446,0.0005446,0.0005446
48,258.134,1.47684,1.35394,1.80881,0.78604,0.69014,0.78918,0.6559,1.46667,1.35644,1.82456,0.0005347,0.0005347,0.0005347
49,263.464,1.47091,1.32967,1.81479,0.73321,0.72825,0.78025,0.642,1.48241,1.37905,1.82596,0.0005248,0.0005248,0.0005248
50,268.719,1.48642,1.34141,1.80858,0.74622,0.70163,0.78534,0.65578,1.46394,1.3535,1.8173,0.0005149,0.0005149,0.0005149
51,273.766,1.46694,1.33881,1.81071,0.75697,0.70867,0.79137,0.65884,1.45929,1.36173,1.82191,0.000505,0.000505,0.000505
52,279.111,1.46726,1.2891,1.80497,0.7479,0.70904,0.78228,0.64376,1.47903,1.37662,1.82765,0.0004951,0.0004951,0.0004951
53,284.332,1.44067,1.26209,1.79915,0.7094,0.71584,0.75008,0.61537,1.47987,1.5188,1.83575,0.0004852,0.0004852,0.0004852
54,290.001,1.44243,1.27448,1.79288,0.73622,0.68609,0.76063,0.63141,1.4811,1.42749,1.83811,0.0004753,0.0004753,0.0004753
55,295.509,1.43778,1.27717,1.7884,0.81147,0.68177,0.79954,0.65777,1.4916,1.36027,1.83998,0.0004654,0.0004654,0.0004654
56,301.751,1.47765,1.27697,1.80149,0.76117,0.73167,0.79361,0.65315,1.49401,1.35172,1.83407,0.0004555,0.0004555,0.0004555
57,307.318,1.43829,1.24695,1.79706,0.75189,0.70243,0.77827,0.65447,1.46827,1.43234,1.82042,0.0004456,0.0004456,0.0004456
58,312.79,1.43595,1.22537,1.79268,0.76251,0.69806,0.78086,0.65234,1.43525,1.40595,1.82083,0.0004357,0.0004357,0.0004357
59,318.224,1.44227,1.22709,1.78918,0.77027,0.69355,0.77953,0.651,1.48921,1.38827,1.82729,0.0004258,0.0004258,0.0004258
60,323.364,1.42459,1.20989,1.79353,0.76393,0.72254,0.79353,0.65841,1.46625,1.32757,1.82311,0.0004159,0.0004159,0.0004159
61,328.149,1.44571,1.2226,1.79086,0.76025,0.72064,0.78602,0.65508,1.45704,1.36749,1.82964,0.000406,0.000406,0.000406
62,332.957,1.43787,1.18471,1.78404,0.74768,0.72205,0.77227,0.63687,1.46476,1.39272,1.82951,0.0003961,0.0003961,0.0003961
63,337.5,1.42883,1.18645,1.78146,0.79123,0.71186,0.79272,0.66666,1.44264,1.37401,1.81358,0.0003862,0.0003862,0.0003862
64,342.104,1.39141,1.17185,1.78886,0.76887,0.72182,0.79526,0.66195,1.45882,1.35047,1.82683,0.0003763,0.0003763,0.0003763
65,346.81,1.42047,1.18636,1.77792,0.74095,0.7255,0.778,0.64629,1.46318,1.40235,1.8245,0.0003664,0.0003664,0.0003664
66,351.473,1.43141,1.17691,1.78211,0.76651,0.67958,0.76289,0.63721,1.44997,1.41829,1.81934,0.0003565,0.0003565,0.0003565
67,356.289,1.38407,1.17549,1.77498,0.77652,0.71177,0.78748,0.65534,1.45271,1.34622,1.82713,0.0003466,0.0003466,0.0003466
68,361.516,1.37377,1.1326,1.77719,0.74382,0.70113,0.76445,0.64039,1.46343,1.45125,1.83162,0.0003367,0.0003367,0.0003367
69,366.044,1.35909,1.13631,1.77707,0.77141,0.71359,0.79111,0.66269,1.452,1.34534,1.82738,0.0003268,0.0003268,0.0003268
70,370.836,1.38848,1.14092,1.77729,0.78477,0.70527,0.80015,0.6685,1.43704,1.31757,1.82841,0.0003169,0.0003169,0.0003169
71,375.578,1.37672,1.11234,1.77154,0.791,0.71453,0.79944,0.66968,1.42835,1.29604,1.81923,0.000307,0.000307,0.000307
72,380.362,1.39162,1.12713,1.77047,0.80205,0.66333,0.77871,0.6494,1.43435,1.38235,1.82707,0.0002971,0.0002971,0.0002971
73,385.127,1.38796,1.1395,1.77777,0.76877,0.71843,0.78848,0.66233,1.4146,1.32455,1.81654,0.0002872,0.0002872,0.0002872
74,389.804,1.39995,1.12406,1.76852,0.77625,0.72111,0.80079,0.66894,1.44913,1.36042,1.82456,0.0002773,0.0002773,0.0002773
75,394.741,1.42242,1.13612,1.77294,0.76453,0.72003,0.79305,0.66698,1.42676,1.33382,1.81159,0.0002674,0.0002674,0.0002674
76,399.444,1.39098,1.11197,1.76541,0.76864,0.73866,0.79946,0.67306,1.42678,1.29217,1.82578,0.0002575,0.0002575,0.0002575
77,404.192,1.3584,1.09785,1.76654,0.78922,0.74547,0.79532,0.66788,1.41793,1.30247,1.82225,0.0002476,0.0002476,0.0002476
78,409.122,1.37427,1.08651,1.76422,0.78072,0.72641,0.80497,0.67337,1.43349,1.29177,1.82179,0.0002377,0.0002377,0.0002377
79,413.905,1.37151,1.08469,1.76927,0.77722,0.72229,0.80869,0.67743,1.41582,1.28155,1.81993,0.0002278,0.0002278,0.0002278
80,418.652,1.38587,1.09893,1.75997,0.78637,0.72632,0.8156,0.68325,1.41045,1.2556,1.82219,0.0002179,0.0002179,0.0002179
81,423.465,1.34065,1.05426,1.76298,0.81236,0.71423,0.81211,0.68513,1.40098,1.29346,1.81582,0.000208,0.000208,0.000208
82,428.264,1.29748,1.0101,1.75363,0.79193,0.73621,0.801,0.67529,1.4131,1.28299,1.81689,0.0001981,0.0001981,0.0001981
83,433.073,1.30737,1.02823,1.7612,0.7893,0.74418,0.81636,0.68805,1.41224,1.23638,1.8188,0.0001882,0.0001882,0.0001882
84,437.734,1.31916,1.04641,1.75639,0.78955,0.72827,0.80887,0.67886,1.42521,1.257,1.82314,0.0001783,0.0001783,0.0001783
85,442.67,1.3186,1.01444,1.75687,0.76456,0.73994,0.79613,0.66797,1.4158,1.28398,1.82458,0.0001684,0.0001684,0.0001684
86,447.666,1.4023,1.07476,1.76591,0.75337,0.74518,0.80245,0.67188,1.41846,1.25261,1.83106,0.0001585,0.0001585,0.0001585
87,452.271,1.30995,1.00548,1.75222,0.73857,0.74298,0.79955,0.6707,1.40382,1.27898,1.82624,0.0001486,0.0001486,0.0001486
88,457.14,1.317,1.00433,1.75467,0.823,0.69496,0.80834,0.68,1.40611,1.26649,1.82526,0.0001387,0.0001387,0.0001387
89,461.965,1.30364,0.99033,1.75175,0.78372,0.74293,0.80945,0.68465,1.40186,1.28039,1.82307,0.0001288,0.0001288,0.0001288
90,467.177,1.33836,1.00257,1.75099,0.78603,0.72775,0.80772,0.6838,1.39567,1.27052,1.82045,0.0001189,0.0001189,0.0001189
91,504.353,1.1995,0.93413,1.70003,0.78863,0.70541,0.79098,0.67574,1.40194,1.45708,1.82189,0.000109,0.000109,0.000109
92,509.688,1.15511,0.85792,1.69429,0.79398,0.70435,0.796,0.6697,1.41089,1.29141,1.82494,9.91e-05,9.91e-05,9.91e-05
93,515.085,1.16577,0.85154,1.68675,0.79232,0.72501,0.80187,0.67533,1.40131,1.27403,1.81867,8.92e-05,8.92e-05,8.92e-05
94,520.551,1.16076,0.82701,1.68213,0.74829,0.7482,0.79588,0.66883,1.39694,1.29609,1.81881,7.93e-05,7.93e-05,7.93e-05
95,525.87,1.16867,0.82032,1.68321,0.76192,0.75353,0.79902,0.67371,1.39389,1.28965,1.82,6.94e-05,6.94e-05,6.94e-05
96,531.546,1.16714,0.8229,1.68979,0.79691,0.73847,0.80701,0.68032,1.39465,1.28377,1.81922,5.95e-05,5.95e-05,5.95e-05
97,536.692,1.16434,0.81725,1.67701,0.78015,0.73491,0.80409,0.67823,1.39243,1.28792,1.81658,4.96e-05,4.96e-05,4.96e-05
98,541.785,1.12105,0.7815,1.68147,0.77709,0.75244,0.806,0.68053,1.38889,1.28038,1.8138,3.97e-05,3.97e-05,3.97e-05
99,546.922,1.15531,0.81381,1.67918,0.77846,0.74416,0.80762,0.68119,1.39224,1.27024,1.81511,2.98e-05,2.98e-05,2.98e-05
100,552.062,1.13928,0.79349,1.67756,0.77114,0.75127,0.80806,0.68075,1.38979,1.26728,1.81303,1.99e-05,1.99e-05,1.99e-05
