epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,95.115,2.5453,1.55112,2.15837,0.64893,0.74488,0.74434,0.44483,2.82986,1.83242,2.23709,0.00612981,0.00612981,0.00612981
45,97.3373,2.44721,1.53991,2.11883,0.74092,0.67111,0.74324,0.42546,3.06368,1.8585,2.34573,0.00597754,0.00597754,0.00597754
46,99.6357,2.49483,1.59123,2.14291,0.68606,0.81654,0.75515,0.43711,2.93488,1.74443,2.30726,0.00582435,0.00582435,0.00582435
47,101.831,2.54383,1.5615,2.1446,0.69522,0.77652,0.7885,0.47764,2.71277,1.76126,2.19754,0.0056704,0.0056704,0.0056704
48,104.081,2.45817,1.50625,2.10122,0.63081,0.82379,0.79663,0.47538,2.82969,1.74939,2.22315,0.00551584,0.00551584,0.00551584
49,106.404,2.48528,1.55569,2.13199,0.71291,0.78259,0.81941,0.50635,2.64205,1.63012,2.14981,0.00536081,0.00536081,0.00536081
50,108.597,2.5759,1.54723,2.16804,0.70543,0.67234,0.72191,0.42671,2.8053,1.77077,2.21205,0.00520548,0.00520548,0.00520548
51,110.843,2.5291,1.51816,2.13838,0.62556,0.82022,0.74537,0.43196,3.00463,1.6094,2.35663,0.00505,0.00505,0.00505
52,113.108,2.48781,1.50001,2.10377,0.68871,0.82575,0.78108,0.47392,2.67069,1.61102,2.17415,0.00489452,0.00489452,0.00489452
53,115.35,2.52017,1.49093,2.15793,0.57963,0.79265,0.70488,0.40273,2.94108,1.90247,2.29691,0.00473919,0.00473919,0.00473919
54,117.61,2.49178,1.45311,2.12492,0.66388,0.77419,0.77682,0.49912,2.63697,1.65601,2.1645,0.00458416,0.00458416,0.00458416
55,119.916,2.38349,1.42831,2.08657,0.65344,0.72586,0.73064,0.43191,2.94458,1.81311,2.28933,0.0044296,0.0044296,0.0044296
56,122.16,2.37898,1.45153,2.09114,0.83862,0.71973,0.82122,0.52249,2.6053,1.52746,2.15436,0.00427565,0.00427565,0.00427565
57,124.397,2.38859,1.411,2.08435,0.6747,0.75909,0.7936,0.47547,2.75959,1.65194,2.2091,0.00412246,0.00412246,0.00412246
58,126.679,2.36905,1.41384,2.07132,0.64187,0.82319,0.7562,0.48518,2.54908,1.59034,2.13057,0.00397019,0.00397019,0.00397019
59,128.941,2.33568,1.38043,2.07378,0.72504,0.74709,0.79044,0.48025,2.80045,1.49791,2.23441,0.00381899,0.00381899,0.00381899
60,131.198,2.37554,1.39526,2.08749,0.68068,0.79281,0.80237,0.50308,2.70167,1.47751,2.18859,0.00366899,0.00366899,0.00366899
61,133.518,2.33327,1.37809,2.05674,0.62497,0.69034,0.73989,0.43683,2.83095,1.83614,2.25329,0.00352037,0.00352037,0.00352037
62,135.771,2.34973,1.36257,2.07621,0.71325,0.65607,0.75924,0.47057,2.69346,1.6448,2.18378,0.00337325,0.00337325,0.00337325
63,138.074,2.33811,1.36706,2.07085,0.73331,0.79261,0.82648,0.51592,2.67886,1.51201,2.16925,0.00322778,0.00322778,0.00322778
64,140.466,2.34915,1.38822,2.06923,0.65445,0.77197,0.78534,0.44871,2.86809,1.68308,2.25278,0.00308412,0.00308412,0.00308412
65,142.721,2.30814,1.38394,2.0669,0.71609,0.81831,0.81099,0.48255,2.876,1.46775,2.25521,0.00294239,0.00294239,0.00294239
66,144.939,2.35989,1.3044,2.06061,0.67498,0.78783,0.76073,0.46378,2.75998,1.69765,2.20025,0.00280275,0.00280275,0.00280275
67,147.216,2.32241,1.34989,2.06641,0.72404,0.76775,0.78184,0.44667,2.94613,1.58305,2.3071,0.00266532,0.00266532,0.00266532
