epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,659.605,0.82761,0.42549,0.00173,0.86913,0.86474,0.92503,0.73661,0.85671,0.57097,0.00278,0.000990365,0.000990365,0.000990365
43,674.885,0.81132,0.42643,0.00172,0.88987,0.85647,0.92808,0.75513,0.80311,0.55076,0.00262,0.000973861,0.000973861,0.000973861
44,689.997,0.82234,0.4262,0.00169,0.8824,0.8619,0.92874,0.75444,0.8047,0.56659,0.00265,0.000957358,0.000957358,0.000957358
45,704.916,0.81599,0.41568,0.00169,0.88709,0.84584,0.92358,0.74724,0.82682,0.58256,0.00268,0.000940855,0.000940855,0.000940855
46,720.031,0.79929,0.4269,0.00167,0.87401,0.82169,0.9106,0.73703,0.8116,0.61858,0.00265,0.000924352,0.000924352,0.000924352
47,734.922,0.80217,0.41179,0.00166,0.88356,0.86304,0.92452,0.75207,0.81615,0.54309,0.00264,0.000907848,0.000907848,0.000907848
48,749.792,0.82539,0.3972,0.00171,0.88413,0.8459,0.92075,0.75114,0.81541,0.56919,0.00266,0.000891345,0.000891345,0.000891345
49,765.104,0.7988,0.39579,0.00168,0.88319,0.85571,0.92394,0.74514,0.81747,0.56598,0.00268,0.000874842,0.000874842,0.000874842
50,780.427,0.79453,0.40405,0.00163,0.88128,0.84878,0.92036,0.7471,0.82891,0.57634,0.00272,0.000858338,0.000858338,0.000858338
51,795.669,0.79512,0.40803,0.00165,0.87473,0.857,0.91905,0.74655,0.80713,0.60247,0.00268,0.000841835,0.000841835,0.000841835
52,810.862,0.79934,0.39478,0.00167,0.88992,0.86583,0.92991,0.75201,0.83684,0.5499,0.00274,0.000825332,0.000825332,0.000825332
53,826.086,0.78613,0.38837,0.00163,0.87354,0.8542,0.91792,0.74919,0.80561,0.64456,0.00263,0.000808828,0.000808828,0.000808828
54,841.218,0.78367,0.38824,0.00165,0.88015,0.84808,0.91659,0.74831,0.81925,0.61288,0.00265,0.000792325,0.000792325,0.000792325
