epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3675.53,0.86128,0.44107,0.00531,0.93656,0.90213,0.96267,0.79397,0.80134,0.33486,0.00814,0.0011882,0.0011882,0.0011882
43,3737.95,0.85501,0.43441,0.00527,0.93023,0.91369,0.96354,0.79575,0.79462,0.32244,0.00816,0.0011684,0.0011684,0.0011684
44,3800.59,0.85687,0.42645,0.00525,0.92541,0.91248,0.96458,0.79872,0.78193,0.32597,0.00793,0.0011486,0.0011486,0.0011486
45,3863.08,0.85149,0.43697,0.00524,0.92276,0.91205,0.96365,0.79906,0.77587,0.33099,0.00783,0.0011288,0.0011288,0.0011288
46,3925.88,0.8508,0.42652,0.00517,0.94192,0.90617,0.96569,0.8005,0.76395,0.31301,0.00768,0.001109,0.001109,0.001109
47,3992.03,0.84746,0.42886,0.00514,0.9275,0.91139,0.9644,0.79982,0.77597,0.3202,0.00787,0.0010892,0.0010892,0.0010892
48,4056.39,0.83814,0.42168,0.00501,0.9199,0.91732,0.96392,0.79674,0.77851,0.32532,0.00784,0.0010694,0.0010694,0.0010694
49,4120.59,0.84244,0.4279,0.00502,0.92163,0.9175,0.96378,0.7964,0.77784,0.32899,0.00787,0.0010496,0.0010496,0.0010496
50,4184.36,0.82931,0.40682,0.00506,0.93017,0.91379,0.96529,0.80675,0.7702,0.31888,0.00774,0.0010298,0.0010298,0.0010298
51,4248.37,0.82919,0.41601,0.00488,0.94209,0.90965,0.96685,0.8051,0.76079,0.31066,0.00766,0.00101,0.00101,0.00101
52,4313.77,0.82401,0.41384,0.00491,0.93264,0.91868,0.96909,0.80976,0.75522,0.30524,0.00754,0.0009902,0.0009902,0.0009902
53,4378.36,0.82437,0.40199,0.00493,0.92862,0.91423,0.96622,0.80775,0.75095,0.31176,0.00752,0.0009704,0.0009704,0.0009704
54,4443.17,0.81878,0.39971,0.00484,0.93003,0.92255,0.96714,0.80656,0.75165,0.31187,0.00755,0.0009506,0.0009506,0.0009506
55,4507.3,0.81252,0.39378,0.00478,0.92883,0.91721,0.9671,0.80536,0.76054,0.31141,0.0077,0.0009308,0.0009308,0.0009308
56,4571.46,0.80063,0.39349,0.00481,0.93723,0.91248,0.96886,0.8099,0.75502,0.31077,0.00764,0.000911,0.000911,0.000911
57,4636.1,0.79221,0.38438,0.00475,0.94255,0.9094,0.96809,0.80881,0.74887,0.30733,0.00742,0.0008912,0.0008912,0.0008912
58,4703.08,0.78968,0.38375,0.00481,0.93244,0.92472,0.96889,0.81481,0.73793,0.30173,0.00741,0.0008714,0.0008714,0.0008714
59,4771.4,0.78232,0.37155,0.00468,0.93329,0.92558,0.96979,0.81438,0.73515,0.29775,0.00726,0.0008516,0.0008516,0.0008516
60,4840.17,0.7879,0.3817,0.00471,0.9372,0.9185,0.96767,0.81243,0.73457,0.30135,0.00727,0.0008318,0.0008318,0.0008318
61,4907.78,0.7736,0.36788,0.00465,0.93755,0.92392,0.9702,0.8162,0.73105,0.29723,0.00717,0.000812,0.000812,0.000812
62,4975.24,0.77363,0.37539,0.00466,0.93084,0.92165,0.96882,0.81514,0.73468,0.30593,0.00735,0.0007922,0.0007922,0.0007922
63,5040.61,0.77879,0.3765,0.00471,0.93251,0.92272,0.96967,0.81692,0.73368,0.30274,0.00728,0.0007724,0.0007724,0.0007724
64,5104.86,0.76879,0.36992,0.00458,0.926,0.92853,0.96957,0.81898,0.72571,0.29388,0.00715,0.0007526,0.0007526,0.0007526
65,5229.68,0.76984,0.36576,0.00449,0.94012,0.91145,0.96913,0.82004,0.72214,0.2945,0.00708,0.0007328,0.0007328,0.0007328
66,5539.95,0.75841,0.35296,0.0045,0.94608,0.91139,0.97002,0.81913,0.73392,0.29797,0.00733,0.000713,0.000713,0.000713
67,5897.17,0.75379,0.35291,0.00453,0.92152,0.93082,0.96958,0.8202,0.72363,0.29573,0.00709,0.0006932,0.0006932,0.0006932
68,6227.11,0.76048,0.35216,0.00453,0.93811,0.91925,0.96985,0.81886,0.73418,0.29493,0.00729,0.0006734,0.0006734,0.0006734
69,6553.27,0.7522,0.35027,0.0045,0.94129,0.91947,0.97245,0.82295,0.72966,0.29392,0.00722,0.0006536,0.0006536,0.0006536
70,6938.01,0.74533,0.3484,0.0044,0.94228,0.92284,0.97226,0.8247,0.71876,0.29342,0.00698,0.0006338,0.0006338,0.0006338
71,7351,0.74316,0.3454,0.0043,0.93559,0.92887,0.97154,0.82355,0.72175,0.29232,0.0071,0.000614,0.000614,0.000614
72,7701,0.73742,0.34304,0.00432,0.94207,0.92274,0.9728,0.82486,0.71919,0.28947,0.00706,0.0005942,0.0005942,0.0005942
73,8155.18,0.73638,0.33899,0.00432,0.93329,0.92732,0.9729,0.82531,0.71095,0.28646,0.00695,0.0005744,0.0005744,0.0005744
74,8594.78,0.73541,0.33839,0.00433,0.94233,0.92361,0.97219,0.82484,0.71325,0.28859,0.007,0.0005546,0.0005546,0.0005546
75,9016.98,0.72659,0.33686,0.00423,0.94057,0.92566,0.97191,0.82465,0.7139,0.29105,0.007,0.0005348,0.0005348,0.0005348
76,9349.83,0.72206,0.32935,0.00413,0.94421,0.92347,0.97204,0.82465,0.71771,0.28957,0.00701,0.000515,0.000515,0.000515
77,9638.66,0.71893,0.32728,0.0042,0.93623,0.93256,0.9713,0.82391,0.71976,0.29389,0.00709,0.0004952,0.0004952,0.0004952
78,9876.92,0.71241,0.33435,0.00411,0.94286,0.93278,0.97326,0.82779,0.71313,0.28451,0.00702,0.0004754,0.0004754,0.0004754
79,10086.8,0.71713,0.32824,0.00422,0.94845,0.91956,0.97274,0.82676,0.71393,0.2902,0.00704,0.0004556,0.0004556,0.0004556
80,10286.3,0.7062,0.32203,0.00413,0.94838,0.91903,0.97244,0.8277,0.70739,0.28965,0.00693,0.0004358,0.0004358,0.0004358
81,10477.7,0.70659,0.32442,0.0041,0.94677,0.91993,0.9721,0.8268,0.70697,0.28958,0.00692,0.000416,0.000416,0.000416
82,10654.1,0.70653,0.32298,0.00417,0.94241,0.92863,0.97217,0.82787,0.70777,0.28781,0.00702,0.0003962,0.0003962,0.0003962
83,10843.2,0.70308,0.31792,0.00401,0.9457,0.92362,0.97267,0.82869,0.70814,0.28731,0.0069,0.0003764,0.0003764,0.0003764
84,11050,0.69171,0.31491,0.00401,0.94914,0.91729,0.97159,0.82894,0.70878,0.28814,0.00699,0.0003566,0.0003566,0.0003566
85,11245.6,0.69688,0.31481,0.00399,0.94554,0.92832,0.97361,0.82961,0.70307,0.28387,0.00682,0.0003368,0.0003368,0.0003368
86,11446.4,0.69668,0.30684,0.0041,0.94696,0.92732,0.97288,0.82984,0.7063,0.28926,0.00693,0.000317,0.000317,0.000317
87,11628.9,0.6864,0.30607,0.00397,0.94579,0.9258,0.97284,0.83075,0.70266,0.28686,0.00687,0.0002972,0.0002972,0.0002972
88,11822.2,0.68754,0.31027,0.00393,0.93878,0.93256,0.97261,0.83194,0.70258,0.28668,0.00686,0.0002774,0.0002774,0.0002774
89,11984.1,0.6804,0.30347,0.00387,0.94654,0.9235,0.97227,0.83327,0.70044,0.28938,0.00684,0.0002576,0.0002576,0.0002576
90,12138.3,0.68597,0.30818,0.00387,0.94868,0.92391,0.97203,0.83241,0.69869,0.28572,0.0068,0.0002378,0.0002378,0.0002378
91,12315.5,0.60666,0.23641,0.00402,0.94354,0.92252,0.9701,0.82788,0.71204,0.29542,0.00692,0.000218,0.000218,0.000218
92,12472.7,0.59653,0.22758,0.00395,0.94249,0.92056,0.97067,0.82912,0.71013,0.29221,0.00687,0.0001982,0.0001982,0.0001982
93,12638.9,0.58816,0.22269,0.00389,0.94678,0.92411,0.97148,0.83307,0.69831,0.28958,0.00671,0.0001784,0.0001784,0.0001784
94,12863.5,0.58591,0.221,0.00386,0.94962,0.92146,0.97135,0.83216,0.70122,0.28933,0.00675,0.0001586,0.0001586,0.0001586
95,13109.2,0.58792,0.21934,0.00382,0.9382,0.93436,0.97205,0.8325,0.70105,0.28677,0.00675,0.0001388,0.0001388,0.0001388
96,13358.3,0.58028,0.21757,0.00382,0.94506,0.92726,0.97189,0.83262,0.7013,0.28856,0.00678,0.000119,0.000119,0.000119
97,13639.8,0.5772,0.21775,0.00384,0.95028,0.9218,0.97153,0.83145,0.70325,0.28919,0.00681,9.92e-05,9.92e-05,9.92e-05
98,13906.6,0.57591,0.21386,0.00369,0.94788,0.92274,0.97105,0.83269,0.70214,0.29055,0.00678,7.94e-05,7.94e-05,7.94e-05
99,14069.2,0.57504,0.2153,0.00368,0.94901,0.92034,0.97103,0.8324,0.70206,0.29264,0.0068,5.96e-05,5.96e-05,5.96e-05
100,14209.8,0.57539,0.21208,0.00367,0.9439,0.92711,0.9713,0.83264,0.70117,0.29,0.00676,3.98e-05,3.98e-05,3.98e-05
