epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,620.6,0.77334,0.37166,0.00161,0.88201,0.85979,0.92242,0.75794,0.7868,0.57998,0.00254,0.0004186,0.0004186,0.0004186
43,635.216,0.76335,0.37302,0.00161,0.88275,0.8639,0.9219,0.75794,0.78779,0.57298,0.00257,0.000412224,0.000412224,0.000412224
44,650.055,0.76887,0.36894,0.00156,0.88659,0.86285,0.92612,0.76009,0.78836,0.58101,0.00256,0.000405849,0.000405849,0.000405849
45,664.697,0.75775,0.35261,0.00156,0.87378,0.87103,0.92467,0.75431,0.81761,0.57148,0.00267,0.000399473,0.000399473,0.000399473
46,679.322,0.74309,0.3575,0.00153,0.86445,0.87865,0.92279,0.75908,0.79328,0.59699,0.00256,0.000393097,0.000393097,0.000393097
47,693.989,0.75631,0.36956,0.00156,0.88041,0.86776,0.92296,0.75708,0.78259,0.57514,0.00256,0.000386722,0.000386722,0.000386722
48,708.604,0.761,0.34889,0.00155,0.86614,0.87259,0.92012,0.75449,0.78885,0.58537,0.00256,0.000380346,0.000380346,0.000380346
49,723.498,0.74289,0.35004,0.00155,0.88805,0.86934,0.92573,0.76276,0.79322,0.58833,0.00256,0.000373971,0.000373971,0.000373971
50,738.2,0.74104,0.34846,0.0015,0.89245,0.86404,0.92471,0.75784,0.80675,0.59926,0.00262,0.000367595,0.000367595,0.000367595
51,752.85,0.73841,0.35095,0.00152,0.89228,0.8679,0.92423,0.7647,0.78722,0.57884,0.00253,0.000361219,0.000361219,0.000361219
52,767.51,0.7427,0.33457,0.00153,0.87185,0.87318,0.92399,0.74871,0.82266,0.61748,0.00268,0.000354844,0.000354844,0.000354844
53,782.104,0.73633,0.33163,0.0015,0.88752,0.8779,0.92619,0.76746,0.7728,0.58418,0.00249,0.000348468,0.000348468,0.000348468
54,796.889,0.72603,0.32403,0.0015,0.88767,0.87052,0.91951,0.75766,0.78404,0.60814,0.00256,0.000342093,0.000342093,0.000342093
55,811.655,0.71447,0.32374,0.0015,0.8775,0.87324,0.92013,0.75547,0.79001,0.60295,0.00257,0.000335717,0.000335717,0.000335717
56,826.15,0.72362,0.32567,0.00149,0.89407,0.86014,0.92788,0.7701,0.77742,0.57529,0.00252,0.000329341,0.000329341,0.000329341
57,840.632,0.71666,0.32427,0.00145,0.8714,0.87097,0.91811,0.75795,0.7879,0.59567,0.00257,0.000322966,0.000322966,0.000322966
58,855.031,0.71694,0.32305,0.00146,0.87902,0.8732,0.92036,0.76073,0.79081,0.60847,0.00257,0.00031659,0.00031659,0.00031659
59,869.466,0.71794,0.31428,0.00146,0.89406,0.87748,0.92478,0.7655,0.77712,0.57541,0.00255,0.000310215,0.000310215,0.000310215
60,884.078,0.69164,0.30294,0.00144,0.89759,0.86279,0.92062,0.76248,0.78486,0.59951,0.00255,0.000303839,0.000303839,0.000303839
61,898.703,0.69374,0.3034,0.00143,0.88305,0.86065,0.91805,0.76009,0.7789,0.62068,0.00253,0.000297463,0.000297463,0.000297463
62,913.629,0.70379,0.31044,0.00142,0.87743,0.87648,0.92065,0.75905,0.79528,0.59995,0.00257,0.000291088,0.000291088,0.000291088
63,928.876,0.69875,0.29843,0.0014,0.88258,0.87855,0.92462,0.77294,0.77278,0.59666,0.00253,0.000284712,0.000284712,0.000284712
64,943.926,0.69236,0.29945,0.00142,0.88803,0.86544,0.91887,0.76373,0.79596,0.6008,0.00259,0.000278336,0.000278336,0.000278336
65,959.344,0.69038,0.29333,0.00141,0.88587,0.87929,0.92082,0.76599,0.78014,0.58915,0.00252,0.000271961,0.000271961,0.000271961
66,974.188,0.67908,0.29501,0.00138,0.87438,0.8868,0.91835,0.76213,0.76827,0.64613,0.00249,0.000265585,0.000265585,0.000265585
67,988.827,0.67344,0.28547,0.00134,0.87875,0.88022,0.91989,0.75703,0.81441,0.62548,0.00266,0.00025921,0.00025921,0.00025921
68,1003.59,0.67654,0.28569,0.00139,0.87621,0.87156,0.92097,0.76482,0.77707,0.61352,0.00252,0.000252834,0.000252834,0.000252834
69,1018.65,0.66548,0.2782,0.00137,0.87818,0.87595,0.91841,0.76693,0.77211,0.60359,0.00251,0.000246458,0.000246458,0.000246458
70,1033.99,0.66068,0.28097,0.00134,0.8979,0.86185,0.92018,0.76616,0.78039,0.62392,0.00252,0.000240083,0.000240083,0.000240083
71,1049.13,0.66139,0.27959,0.00134,0.86854,0.88422,0.91886,0.76812,0.77897,0.63612,0.00254,0.000233707,0.000233707,0.000233707
72,1064.08,0.66486,0.27672,0.00132,0.88178,0.88372,0.92091,0.77105,0.77042,0.6296,0.00249,0.000227332,0.000227332,0.000227332
73,1078.82,0.64616,0.26902,0.00133,0.89431,0.86592,0.92052,0.76633,0.76997,0.62808,0.00249,0.000220956,0.000220956,0.000220956
74,1093.72,0.64792,0.27104,0.00131,0.88669,0.87332,0.91948,0.76759,0.76505,0.6363,0.00248,0.00021458,0.00021458,0.00021458
75,1108.96,0.65395,0.27086,0.00131,0.86707,0.8921,0.91894,0.76656,0.77352,0.61229,0.00249,0.000208205,0.000208205,0.000208205
76,1123.67,0.64255,0.26736,0.00131,0.88984,0.87194,0.92141,0.76921,0.76339,0.61213,0.00248,0.000201829,0.000201829,0.000201829
77,1138.81,0.63642,0.2612,0.00129,0.87623,0.88167,0.92012,0.77018,0.76468,0.62461,0.00247,0.000195453,0.000195453,0.000195453
